1,Respondent,MainBranch,Country,DatabaseWorkedWith,DevType,LanguageWorkedWith,NEWCollabToolsWorkedWith,OpSys,PlatformWorkedWith,UndergradMajor
2762,41898,I am a developer by profession,India,Firebase;Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, full-stack",Go;HTML/CSS;Java;JavaScript,"Confluence;Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",Windows,Android,"Computer science, computer engineering, or software engineering"
2763,41906,I am a developer by profession,India,Firebase;MongoDB;PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist",JavaScript;Python,Confluence;Jira;Github;Slack;Trello,Linux-based,AWS;Docker;Linux;Slack Apps and Integrations,"Computer science, computer engineering, or software engineering"
2764,41909,I am a developer by profession,India,Elasticsearch;Firebase;MongoDB;MySQL,"Developer, full-stack;Developer, mobile",Java;JavaScript,Github;Gitlab;Slack;Trello,Linux-based,Android;AWS;Docker,"Computer science, computer engineering, or software engineering"
2765,41950,I am a developer by profession,India,Firebase;MongoDB;MySQL;Redis,"Developer, back-end;Developer, full-stack;Developer, mobile",JavaScript;TypeScript,Github;Slack,Linux-based,Arduino;Linux,"Computer science, computer engineering, or software engineering"
2766,41954,I am a developer by profession,India,Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,"Developer, mobile",C;Java;Swift,Github;Gitlab;Slack;Microsoft Teams,MacOS,Android;iOS;MacOS,"Computer science, computer engineering, or software engineering"
2767,41983,I am a developer by profession,India,MariaDB;MySQL;Redis,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,Github;Slack,MacOS,AWS;Linux,"Computer science, computer engineering, or software engineering"
2768,41986,I am a developer by profession,India,Elasticsearch;MongoDB;PostgreSQL;SQLite,"Academic researcher;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist",Java,Jira;Github;Slack,Windows,Docker;Windows,"Computer science, computer engineering, or software engineering"
2769,41988,I am a developer by profession,India,Firebase;MySQL,"Developer, mobile",Java;Kotlin,Jira,Windows,Android,"Computer science, computer engineering, or software engineering"
2770,42009,I am a developer by profession,India,MySQL;SQLite,Data scientist or machine learning specialist,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Github;Gitlab;Trello,Linux-based,Docker;IBM Cloud or Watson;Linux;WordPress,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2771,42019,I am a developer by profession,India,Microsoft SQL Server,"Developer, back-end;Developer, desktop or enterprise applications",C#;HTML/CSS;JavaScript;SQL,Microsoft Teams;Microsoft Azure,Windows,Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2772,42024,I am a developer by profession,India,MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",Java;JavaScript;SQL,"Github;Google Suite (Docs, Meet, etc)",Linux-based,Linux;Windows,"Computer science, computer engineering, or software engineering"
2773,42069,I am a developer by profession,India,MySQL;SQLite,"Academic researcher;Designer;Developer, back-end;Developer, full-stack;Developer, mobile",C;Java;Python;R;SQL,"Google Suite (Docs, Meet, etc)",Windows,Android;Google Cloud Platform;Linux;Windows,"Computer science, computer engineering, or software engineering"
2774,42084,I am a developer by profession,India,Microsoft SQL Server;MySQL,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack",C#;Go;Java;JavaScript;Python;SQL;TypeScript,"Github;Gitlab;Google Suite (Docs, Meet, etc)",Linux-based,Docker;Linux;Windows,"Computer science, computer engineering, or software engineering"
2775,42101,I am a developer by profession,India,Elasticsearch;MongoDB;MySQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;Python;SQL,Github;Gitlab,Linux-based,AWS,"Computer science, computer engineering, or software engineering"
2776,42104,I am a developer by profession,India,MySQL;Oracle,Academic researcher;Data scientist or machine learning specialist,Java;JavaScript;Python,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Windows,Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2777,42139,"I am not primarily a developer, but I write code sometimes as part of my work",India,MySQL,"Designer;Developer, front-end",HTML/CSS;JavaScript,"Jira;Slack;Trello;Google Suite (Docs, Meet, etc)",Windows,Android;iOS;WordPress,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)"
2778,42177,I am a developer by profession,India,MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",HTML/CSS;Java;JavaScript;SQL;TypeScript,"Jira;Github;Facebook Workplace;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Linux-based,AWS;Windows,"Computer science, computer engineering, or software engineering"
2779,42331,I am a student who is learning to code,India,Microsoft SQL Server,"Designer;Developer, game or graphics;Developer, mobile;System administrator",C;C#;C++,Jira;Gitlab;Microsoft Teams,Windows,Windows,"Computer science, computer engineering, or software engineering"
2780,42486,I am a developer by profession,India,MySQL,"Data scientist or machine learning specialist;Developer, back-end;DevOps specialist;Engineer, site reliability;System administrator",JavaScript;Python;SQL,Confluence;Jira;Github;Facebook Workplace;Slack,MacOS,Docker;Linux;MacOS;Slack Apps and Integrations,"Information systems, information technology, or system administration"
2781,42578,I am a student who is learning to code,India,MySQL;Oracle;SQLite,"Academic researcher;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile",HTML/CSS;Java;PHP;Python;SQL,Github,Linux-based,Android;Linux,"Computer science, computer engineering, or software engineering"
2782,42615,I am a developer by profession,India,Microsoft SQL Server,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,"Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",Windows,Microsoft Azure,"Computer science, computer engineering, or software engineering"
2783,42627,I am a developer by profession,India,DynamoDB,"Developer, full-stack;DevOps specialist",HTML/CSS;Java,Github;Trello,MacOS,AWS;MacOS,"Computer science, computer engineering, or software engineering"
2784,42633,I am a developer by profession,India,DynamoDB;Elasticsearch;Firebase;MongoDB;MySQL;Oracle;Redis;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile",C;C++;HTML/CSS;Java;JavaScript;Scala;SQL,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",MacOS,Android;AWS;Docker;Linux;MacOS;Slack Apps and Integrations,"Computer science, computer engineering, or software engineering"
2785,42642,I am a developer by profession,India,MySQL;PostgreSQL,Academic researcher;Data scientist or machine learning specialist;DevOps specialist;System administrator,C++;HTML/CSS;Java;Kotlin;Python,Slack;Trello,Windows,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;Microsoft Azure;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2786,42664,I am a developer by profession,India,Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis,"Database administrator;Designer;Developer, back-end;Developer, full-stack;Developer, mobile",JavaScript;PHP;SQL,Jira;Github;Slack;Trello,MacOS,Android;AWS;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2787,42695,I am a developer by profession,India,MongoDB;MySQL,"Developer, back-end;Developer, full-stack",C;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Github,Windows,Windows,"Computer science, computer engineering, or software engineering"
2788,42779,I am a developer by profession,India,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,"Developer, full-stack;Developer, game or graphics;DevOps specialist;System administrator",Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Python;SQL,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Linux-based,Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi;Slack Apps and Integrations;WordPress,"Computer science, computer engineering, or software engineering"
2789,42987,I am a developer by profession,India,Firebase;PostgreSQL;Redis;SQLite,"Developer, back-end",HTML/CSS;JavaScript;PHP;Python;Ruby,Jira;Github;Slack;Trello,Linux-based,AWS;Heroku;Linux,"Computer science, computer engineering, or software engineering"
2790,43017,I am a developer by profession,India,MariaDB;MySQL,"Academic researcher;Developer, back-end;Developer, front-end;Developer, full-stack;Educator;Engineer, data",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Confluence;Jira;Github;Gitlab;Slack;Trello,Windows,AWS;Heroku;Linux;WordPress,"Computer science, computer engineering, or software engineering"
2791,43034,I am a developer by profession,India,Firebase,"Developer, mobile",Objective-C;Swift,"Github;Slack;Google Suite (Docs, Meet, etc)",MacOS,iOS,"Computer science, computer engineering, or software engineering"
2792,43035,I am a developer by profession,India,MongoDB;MySQL;SQLite,"Developer, mobile",C;C#;C++;Java;Python,Github;Slack;Trello,Windows,Android;Google Cloud Platform,"Computer science, computer engineering, or software engineering"
2793,43046,I am a developer by profession,India,PostgreSQL,"Developer, back-end",HTML/CSS;Python,Github,Windows,Windows,"Computer science, computer engineering, or software engineering"
2794,43064,I am a developer by profession,India,Cassandra;Elasticsearch;Oracle;PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",HTML/CSS;Java;JavaScript;Scala;SQL,Gitlab,Windows,MacOS;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2795,43071,I am a developer by profession,India,MySQL,"Developer, full-stack",HTML/CSS;Java;JavaScript;SQL,Jira;Gitlab;Microsoft Teams,Linux-based,AWS;Docker;Linux,"Information systems, information technology, or system administration"
2796,43084,I am a developer by profession,India,DynamoDB;Microsoft SQL Server;MySQL;Oracle,"Developer, back-end;Developer, full-stack",HTML/CSS;Java;JavaScript;SQL,"Confluence;Jira;Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",Windows,AWS;Windows,"Computer science, computer engineering, or software engineering"
2797,43086,I am a developer by profession,India,Elasticsearch;MongoDB;MySQL;Oracle;SQLite,"Developer, back-end",Java;SQL,Jira;Github;Gitlab;Slack,MacOS,Docker;Linux;MacOS;Slack Apps and Integrations;Windows,"Computer science, computer engineering, or software engineering"
2798,43113,I am a developer by profession,India,SQLite,"Academic researcher;Designer;Developer, mobile",Java;SQL,Github,Windows,Android;Windows,"Computer science, computer engineering, or software engineering"
2799,43119,I am a developer by profession,India,MySQL;SQLite,"Data scientist or machine learning specialist;Developer, back-end;Engineer, data",HTML/CSS;Java;Python;SQL,"Github;Gitlab;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)",Windows,Linux;MacOS;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2800,43162,I am a developer by profession,India,Microsoft SQL Server;MySQL,"Developer, back-end;Developer, front-end",HTML/CSS;JavaScript;PHP;SQL,Github;Gitlab,Linux-based,AWS;Google Cloud Platform;Linux;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2801,43195,I am a developer by profession,India,MongoDB;PostgreSQL,"Designer;Developer, front-end;Developer, full-stack;Educator",HTML/CSS;JavaScript;TypeScript,"Jira;Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",Windows,iOS;Windows,Web development or web design
2802,43239,I am a student who is learning to code,India,Firebase;MySQL;Oracle;PostgreSQL;SQLite,"Developer, back-end;Developer, full-stack;Developer, mobile",C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;R;SQL,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Windows,Android;Arduino;Linux;Raspberry Pi;Windows;WordPress,"Information systems, information technology, or system administration"
2803,43263,I am a developer by profession,India,Microsoft SQL Server,"Developer, full-stack;Educator",C#;HTML/CSS;JavaScript;Kotlin;Python;SQL,Github;Stack Overflow for Teams,Windows,Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2804,43267,I am a developer by profession,India,MySQL,"Developer, back-end",C++;HTML/CSS;JavaScript;PHP;Python,Github;Gitlab;Trello,Linux-based,Arduino;Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2805,43296,I am a developer by profession,India,Firebase;MySQL;SQLite,"Developer, back-end;Developer, full-stack;Developer, mobile;Educator;Engineer, data",C;C++;Java;JavaScript;Kotlin;PHP,Github,Windows,Android;Arduino;AWS;Linux;Raspberry Pi,"Computer science, computer engineering, or software engineering"
2806,43360,I am a student who is learning to code,India,DynamoDB;Firebase;MongoDB;MySQL;Oracle,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,Github,MacOS,Android;Linux;MacOS,"Computer science, computer engineering, or software engineering"
2807,43361,I am a developer by profession,India,Firebase;PostgreSQL,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",HTML/CSS;JavaScript;Kotlin;Python;VBA,"Github;Trello;Google Suite (Docs, Meet, etc)",Linux-based,Android;Arduino;Google Cloud Platform;Linux,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2808,43365,I am a developer by profession,India,Firebase;Microsoft SQL Server,"Designer;Developer, desktop or enterprise applications;Developer, mobile",C#;Java;Kotlin,"Github;Gitlab;Microsoft Azure;Google Suite (Docs, Meet, etc)",Windows,Android;Slack Apps and Integrations,Web development or web design
2809,43445,I am a developer by profession,India,Microsoft SQL Server;Oracle,"Developer, full-stack",Bash/Shell/PowerShell;C#;C++;SQL,Jira;Github,Windows,Windows,"Computer science, computer engineering, or software engineering"
2810,43450,I am a student who is learning to code,India,Firebase,"Developer, front-end;Developer, full-stack",HTML/CSS;Java;JavaScript;Python;TypeScript,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Windows,Heroku;Linux;Raspberry Pi,"Computer science, computer engineering, or software engineering"
2811,43489,I am a developer by profession,India,Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript,"Jira;Github;Google Suite (Docs, Meet, etc)",Windows,Linux,"Computer science, computer engineering, or software engineering"
2812,43507,I am a developer by profession,India,Firebase;MongoDB;MySQL;SQLite,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist",Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Windows,AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;Kubernetes;Linux;Windows,"Computer science, computer engineering, or software engineering"
2813,43838,"I am not primarily a developer, but I write code sometimes as part of my work",India,Microsoft SQL Server;MySQL,"Data or business analyst;Data scientist or machine learning specialist;Designer;Developer, back-end;Developer, front-end;Educator",C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL;VBA,Jira,Windows,Windows,"Information systems, information technology, or system administration"
2814,43842,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,"Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, full-stack;Engineer, data",C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;VBA,Github;Microsoft Teams;Microsoft Azure;Trello,Windows,Arduino;AWS;Linux;Microsoft Azure;Raspberry Pi;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2815,43854,I am a developer by profession,India,Couchbase;Elasticsearch,"Designer;Developer, back-end;Developer, desktop or enterprise applications",Java,Confluence;Jira;Github;Gitlab;Microsoft Teams,Windows,AWS;Docker;Kubernetes;Linux;Microsoft Azure;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2816,43855,I am a developer by profession,India,MySQL;SQLite,"Academic researcher;Data or business analyst;Developer, back-end;Developer, mobile",JavaScript;Python;Swift,Confluence;Jira;Github;Microsoft Teams,MacOS,iOS;WordPress,"Computer science, computer engineering, or software engineering"
2817,43882,I am a developer by profession,India,Firebase;Microsoft SQL Server,"Developer, full-stack",Bash/Shell/PowerShell;C#;C++;HTML/CSS;JavaScript;TypeScript,Github;Gitlab;Microsoft Azure,Windows,AWS;Linux;Windows,"Computer science, computer engineering, or software engineering"
2818,43926,I am a developer by profession,India,MongoDB;PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist;Engineer, site reliability",Bash/Shell/PowerShell;HTML/CSS;JavaScript;Ruby,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",MacOS,AWS;Heroku;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2819,43950,I am a developer by profession,India,DynamoDB;MySQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack",C++;HTML/CSS;Java;JavaScript;Ruby;SQL,Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Trello,MacOS,AWS;Docker;Linux;MacOS,"Computer science, computer engineering, or software engineering"
2820,44017,"I am not primarily a developer, but I write code sometimes as part of my work",India,Firebase;MySQL;Oracle;PostgreSQL;SQLite,"Developer, QA or test",C;C++;HTML/CSS;Java;SQL;VBA,Github;Microsoft Teams;Microsoft Azure,Windows,Android;Microsoft Azure,"Computer science, computer engineering, or software engineering"
2821,44020,I am a developer by profession,India,Elasticsearch;Microsoft SQL Server;MySQL;Redis;SQLite,"Database administrator;Developer, back-end;Developer, full-stack;DevOps specialist;Product manager;System administrator",HTML/CSS;JavaScript;PHP;SQL,"Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",Windows,Android;AWS;Google Cloud Platform;Linux;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2822,44046,I am a developer by profession,India,Cassandra;Couchbase;Elasticsearch;MongoDB;Oracle;PostgreSQL;Redis,"Developer, back-end;Engineer, data",Java;JavaScript;Kotlin;SQL,Confluence;Jira;Github;Slack,MacOS,Docker;MacOS;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2823,44120,I am a developer by profession,India,Cassandra;Couchbase;DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,"Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile",Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;R;VBA,Confluence;Jira;Github;Gitlab;Slack;Trello,Linux-based,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;WordPress,"Information systems, information technology, or system administration"
2824,44143,I am a developer by profession,India,MongoDB;MySQL,"Developer, back-end;Developer, embedded applications or devices",Assembly;Bash/Shell/PowerShell;C;C++;Go;JavaScript;Python;TypeScript,Jira;Github;Gitlab,Linux-based,Arduino;AWS;Docker;Kubernetes;Linux;Raspberry Pi,"Computer science, computer engineering, or software engineering"
2825,44165,I am a developer by profession,India,Elasticsearch;Firebase;Microsoft SQL Server;MySQL;Oracle;SQLite,"Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, mobile",JavaScript;Python;SQL,Jira;Github;Gitlab,Linux-based,AWS;Google Cloud Platform;Heroku;Linux,"Computer science, computer engineering, or software engineering"
2826,44182,I am a developer by profession,India,Firebase;MongoDB;MySQL,"Data or business analyst;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Educator",HTML/CSS;JavaScript;PHP;Python;SQL,"Github;Slack;Google Suite (Docs, Meet, etc)",Windows,Android;Google Cloud Platform;Heroku,"Computer science, computer engineering, or software engineering"
2827,44330,"I am not primarily a developer, but I write code sometimes as part of my work",India,Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Senior executive/VP,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",MacOS,Android;AWS;Docker;Google Cloud Platform;Heroku;Linux;MacOS;Raspberry Pi,"Computer science, computer engineering, or software engineering"
2828,44458,I am a developer by profession,India,Elasticsearch;MongoDB;PostgreSQL;Redis,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test",HTML/CSS;JavaScript;Python,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",MacOS,iOS,"Computer science, computer engineering, or software engineering"
2829,44459,I code primarily as a hobby,India,MongoDB;MySQL,"Developer, back-end;Developer, full-stack",Java,Confluence;Jira;Github,Windows,Windows,"Computer science, computer engineering, or software engineering"
2830,44465,I am a developer by profession,India,Elasticsearch;PostgreSQL,"Developer, full-stack",C;HTML/CSS;JavaScript;Python;TypeScript,Jira,Linux-based,Docker;Linux,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2831,44471,I am a developer by profession,India,Elasticsearch;Firebase;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, mobile",C;C#;Java;JavaScript;SQL,Jira;Github;Gitlab;Slack,Windows,Android;AWS;Docker;iOS;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2832,44492,I am a developer by profession,India,Microsoft SQL Server;MongoDB;MySQL,"Academic researcher;Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test",C;C#;C++;HTML/CSS;Java;JavaScript;PHP;TypeScript,Github;Microsoft Teams;Microsoft Azure,Windows,Android;Microsoft Azure,"Information systems, information technology, or system administration"
2833,44495,I am a developer by profession,India,PostgreSQL,"Developer, back-end;Developer, full-stack;Engineer, site reliability",C++;Java;JavaScript;Ruby,Jira;Github;Gitlab,MacOS,Android;Docker;Kubernetes,"Computer science, computer engineering, or software engineering"
2834,44496,I am a developer by profession,India,PostgreSQL,Engineering manager,Ruby,Jira;Slack,MacOS,AWS,"Computer science, computer engineering, or software engineering"
2835,44513,I am a developer by profession,India,Elasticsearch;Microsoft SQL Server;Oracle;Redis,"Developer, full-stack;Engineering manager",Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Stack Overflow for Teams,Windows,AWS;IBM Cloud or Watson;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2836,44536,I am a developer by profession,India,MongoDB;MySQL;Oracle,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test",HTML/CSS;JavaScript;PHP;TypeScript,"Facebook Workplace;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Linux-based,Linux;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2837,44537,I am a developer by profession,India,Firebase;SQLite,"Developer, mobile",Objective-C;Swift,Jira;Github;Slack,MacOS,iOS,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2838,44571,I am a developer by profession,India,MongoDB,"Developer, back-end;Developer, embedded applications or devices;Developer, full-stack;DevOps specialist",C++;Python,Github;Slack;Microsoft Teams,Linux-based,Arduino;Docker;Linux,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2839,44616,I am a developer by profession,India,MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack",PHP,Confluence;Jira;Github;Facebook Workplace;Slack,Linux-based,Linux;Windows,"Computer science, computer engineering, or software engineering"
2840,44624,I am a developer by profession,India,MySQL;PostgreSQL;SQLite,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack",Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,"Github;Gitlab;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Windows,Android;Google Cloud Platform;Heroku;Linux;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2841,44646,I am a developer by profession,India,MongoDB;Oracle,"Developer, back-end;Developer, desktop or enterprise applications;Engineer, data",C++;Java,"Github;Gitlab;Google Suite (Docs, Meet, etc)",Windows,AWS;Docker;Linux;Windows,"Computer science, computer engineering, or software engineering"
2842,44649,I am a developer by profession,India,MongoDB;Redis,"Developer, back-end",Bash/Shell/PowerShell;C;JavaScript;PHP;SQL,Jira;Github;Gitlab;Slack;Trello,MacOS,Android;AWS;Linux;Slack Apps and Integrations;WordPress,"Computer science, computer engineering, or software engineering"
2843,44661,I am a developer by profession,India,Microsoft SQL Server;MySQL;SQLite,"Developer, full-stack;Developer, mobile;DevOps specialist",Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,Microsoft Teams;Microsoft Azure,Windows,Android;iOS;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2844,44677,I am a developer by profession,India,Microsoft SQL Server;MySQL;SQLite,Engineering manager,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;Kotlin;Python;SQL;Swift,Confluence;Jira;Github;Slack,MacOS,Android;AWS;iOS;MacOS;Windows,Web development or web design
2845,44680,I am a developer by profession,India,Elasticsearch;Microsoft SQL Server;MySQL;Redis;SQLite,"Developer, back-end;Developer, full-stack;Engineer, site reliability",C;C#;JavaScript;Python;SQL,Jira;Github;Slack;Microsoft Teams;Microsoft Azure,Windows,Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2846,44695,I am a developer by profession,India,MariaDB;MySQL,"Developer, full-stack;Educator",HTML/CSS;JavaScript;TypeScript,Github,Windows,AWS;Docker;Linux;WordPress,"Computer science, computer engineering, or software engineering"
2847,44707,I am a developer by profession,India,MySQL;Oracle;PostgreSQL,"Developer, back-end;Developer, full-stack",HTML/CSS;JavaScript;Python;SQL,Confluence;Jira;Github;Slack,Windows,Docker;Linux;Slack Apps and Integrations,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2848,44729,I am a developer by profession,India,MySQL;PostgreSQL,"Database administrator;Developer, back-end;Engineer, site reliability",C#;Python;SQL,Confluence;Jira;Gitlab;Slack,Linux-based,Docker;Kubernetes;Linux,"Computer science, computer engineering, or software engineering"
2849,44736,I am a developer by profession,India,Microsoft SQL Server;MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Product manager",C#;HTML/CSS;JavaScript;SQL,Github,Windows,Windows,"Computer science, computer engineering, or software engineering"
2850,44740,I am a developer by profession,India,Firebase;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",C;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",Windows,Android;AWS;Docker;Linux;Microsoft Azure;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2851,44784,I am a developer by profession,India,Elasticsearch;Firebase;MongoDB;MySQL,"Developer, front-end;Developer, full-stack",C;C++;Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",MacOS,Android;AWS;Docker;Google Cloud Platform;Heroku;Linux;MacOS;Windows;WordPress,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2852,44790,I am a developer by profession,India,Microsoft SQL Server;MySQL,"Developer, back-end",Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python,"Jira;Github;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",Linux-based,Docker;Kubernetes;Linux;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2853,44810,I am a developer by profession,India,Firebase;SQLite,"Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile;Developer, QA or test",Dart;Objective-C;Swift,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",MacOS,iOS,"Computer science, computer engineering, or software engineering"
